"","id","user","datetime","comment"
"1",1,"garbetjg","2022-11-21 16:46:52","Initial population of the database"
"2",2,"garbetjg","2022-11-21 16:53:16","Debugging"
"3",3,"garbetjg","2022-11-21 16:55:25","Debugging"
"4",4,"garbetjg","2022-11-21 16:55:52","Debugging"
"5",5,"garbetjg","2022-11-22 09:26:49","Debugging"
"6",6,"garbetjg","2022-11-22 09:31:13","Debugging"
"7",7,"garbetjg","2022-11-22 10:31:53","Debugging"
"8",8,"garbetjg","2022-12-07 15:40:22","adding intestive creel estimates"
"9",9,"garbetjg","2022-12-07 15:41:37","adding intestive creel estimates"
"10",10,"garbetjg","2022-12-07 15:42:53","adding intestive creel estimates"
"11",11,"garbetjg","2022-12-07 15:45:44","adding intestive creel estimates - debugging"
"12",12,"garbetjg","2022-12-08 13:55:07","adding intestive creel estimates - debugging"
"13",13,"garbetjg","2022-12-08 13:56:46","dockside data was missing 1/1/2016-4/30/2017, fixed now - although i dont think there were many coho fisheries going on "
"14",14,"garbetjg","2022-12-08 15:12:32","debugging"
"15",15,"garbetjg","2022-12-08 15:46:14","debugging - area_code padding creel estimates"
"16",16,"garbetjg","2022-12-08 15:58:16","updated coho regulations"
"17",17,"garbetjg","2022-12-08 17:22:57","debugging"
"18",18,"garbetjg","2022-12-08 17:26:30","debugging"
"19",19,"garbetjg","2022-12-08 17:37:28","debugging"
"20",20,"garbetjg","2022-12-08 17:47:37","debugging"
"21",21,"garbetjg","2022-12-12 12:25:28","regulation file QAQC, coho_estimates table now are CRC subtituted"
"22",22,"garbetjg","2022-12-12 12:31:18","regulation file QAQC, coho_estimates table now are CRC subtituted - debugging date field"
"23",23,"garbetjg","2022-12-21 12:31:18","removal of dockside, sample rate, crc information/tables - preparing for an estimate only approach"
"24",24,"garbetjg","2022-12-21 15:09:49","coho daily estimates"
"25",25,"garbetjg","2022-12-21 15:33:45","coho daily estimates - debugging"
"26",26,"garbetjg","2022-12-21 15:36:08","coho daily estimates - debugging"
"27",27,"garbetjg","2022-12-29 13:16:17","regulations qaqc"
"28",28,"garbetjg","2022-12-29 14:27:51","removal of post-season fram"
"29",29,"ty","2023-01-02 22:27:35","appending fram table with supplement fram numbers"
"30",30,"ty","2023-01-02 22:29:38","appending fram table with supplement fram numbers"
"31",31,"garbetjg","2023-02-01 11:54:33","fixing regulation errors"
"32",32,"garbetjg","2023-02-01 13:08:57","fixing regulation errors"
"33",33,"ty","2023-02-05 12:38:45","crc days without catch area now 0"
"34",34,"garbetjg","2023-02-23 10:24:37","fix to area 5, was needlessly pulling in CRC data due to missing strata"
"35",35,"garbetjg","2023-02-23 10:45:12","appending fram table with supplement fram numbers"
